,ds,y,pos_attr,neg_attr,raw_pos_attr,raw_neg_attr
0,80000,0.49738464300471114,0.38194567,0.0,0.49611792,0.0
1,80001,1.071663139158449,0.0,0.0,0.0,0.0
2,80002,1.541037699751342,0.0,0.051326085,0.0,0.06666862
3,80003,1.8595617611113358,0.0279257,0.0,0.036273327,0.0
4,80004,1.9960553503654095,0.01610498,0.0,0.020919126,0.0
5,80005,1.937157258970549,0.0,0.0,0.0,0.0
6,80006,1.6886329568371727,0.18721265,0.0,0.24317476,0.0
7,80007,1.2748102167794828,0.0,0.0,0.0,0.0
8,80008,0.7361976953453551,0.17436,0.0,0.22648019,0.0
9,80009,0.12551958467467797,0.0,0.21950164,0.0,0.2851157
10,80010,-0.4974455011971096,0.0,0.0,0.0,0.0
11,80011,-1.0717161896585063,0.0,0.0,0.0,0.0
12,80012,-1.5410777494964356,0.0,0.041687712,0.0,0.054149117
13,80013,-1.8595848896729326,0.0,0.028289804,0.0,0.03674627
14,80014,-1.996059293719398,0.0,0.027578888,0.0,0.035822846
15,80015,-1.937141631104572,0.0,0.0,0.0,0.0
16,80016,-1.6885992875468947,0.0,0.01970106,0.0,0.025590155
17,80017,-1.2747618019037847,0.0,0.0,0.0,0.0
18,80018,-0.7361392741849289,0.017219946,0.0,0.022367379,0.0
19,80019,-0.12545687599470876,0.0,0.2026064,0.0,0.26317006
20,80020,0.4975063589126339,0.0,0.0,0.0,0.0
21,80021,1.071769239094658,0.0,0.0,0.0,0.0
22,80022,1.541117797720516,0.0035791188,0.0,0.004648999,0.0
23,80023,1.8596080164045123,0.018000554,0.0,0.02338133,0.0
24,80024,1.9960632351024021,0.3534193,0.0,0.4590644,0.0
25,80025,1.9371260013230547,0.0,0.021782124,0.0,0.028293299
26,80026,1.6885656165822045,0.0,0.0,0.0,0.0
27,80027,1.274713385781135,0.22110364,0.0,0.28719655,0.0
28,80028,0.7360808522844174,0.0,0.0,0.0,0.0
29,80029,0.12539416719817773,0.03863778,0.0,0.05018749,0.0
30,80030,-0.49756721612303473,0.0,0.0,0.0,0.0
31,80031,-1.0718222874852805,0.0,0.053170532,0.0,0.069064416
32,80032,-1.5411578444189062,0.0,0.0,0.0,0.0
33,80033,-1.8596311412953397,0.015413169,0.0,0.020020517,0.0
34,80034,-1.9960671745162442,0.0,0.0035065068,0.0,0.0045546815
35,80035,-1.9371103696332526,0.0599088,0.0,0.0778169,0.0
36,80036,-1.6885319439587319,0.0,0.057213724,0.0,0.07431621
37,80037,-1.274664968389155,0.0,0.16151816,0.0,0.20979962
38,80038,-0.7360224296709393,0.0,0.0,0.0,0.0
39,80039,-0.12533145826336187,0.0,0.0,0.0,0.0
40,80040,0.49762807284939375,0.0,0.0,0.0,0.0
41,80041,1.07187533480575,0.0,0.0,0.0,0.0
42,80042,1.5411978896054788,0.23352802,0.0,0.30333486,0.0
43,80043,1.859654264353426,0.08160231,0.0,0.1059951,0.0
44,80044,1.9960711119590953,0.080025986,0.0,0.10394757,0.0
45,80045,1.9370947360279402,0.17192337,0.0,0.22331518,0.0
46,80046,1.6884982696648125,0.07092575,0.0,0.09212707,0.0
47,80047,1.2746165497503197,0.08236877,0.0,0.106990665,0.0
48,80048,0.7359640063174909,0.12202386,0.0,0.15849957,0.0
49,80049,0.12526874921936965,0.018159496,0.0,0.023587782,0.0
50,80050,-0.4976889290846038,0.0,0.07594009,0.0,0.09864031
51,80051,-1.0719283810805853,0.0,0.0,0.0,0.0
52,80052,-1.5412379332616455,0.17209063,0.0,0.22353244,0.0
53,80053,-1.8596773855760704,0.15917315,0.0,0.20675363,0.0
54,80054,-1.99607504743232,0.075972445,0.0,0.098682344,0.0
55,80055,-1.9370791005143748,0.13414787,0.0,0.17424771,0.0
56,80056,-1.688464593700479,0.0,0.0,0.0,0.0
57,80057,-1.2745681298478562,0.0,0.08381014,0.0,0.10886291
58,80058,-0.7359055822511914,0.0,0.0,0.0,0.0
59,80059,-0.1252060400372163,0.0,0.0323751,0.0,0.042052757
60,80060,0.4977497848286047,0.0,0.053999986,0.0,0.070141815
61,80061,1.071981426285163,0.1920669,0.0,0.24948005,0.0
62,80062,1.5412779754059145,0.0,0.0,0.0,0.0
63,80063,1.85970050496325,0.5735766,0.0,0.7450318,0.0
64,80064,1.9960789809354578,0.4179125,0.0,0.54283607,0.0
65,80065,1.9370634630871402,0.0073286775,0.0,0.009519386,0.0
66,80066,1.688430916077464,0.0,0.14108291,0.0,0.1832558
67,80067,1.2745197086874192,0.0,0.0,0.0,0.0
68,80068,0.7358471574518023,0.0,0.02044461,0.0,0.026555968
69,80069,0.12514333074601044,0.0,0.0,0.0,0.0
70,80070,-0.4978106400813364,0.0,0.0,0.0,0.0
71,80071,-1.072034470437859,0.03731962,0.0,0.048475303,0.0
72,80072,-1.5413180160196993,0.0,0.0,0.0,0.0
73,80073,-1.859723622517619,0.0,0.0,0.0,0.0
74,80074,-1.9960829124685053,0.0,0.2621442,0.0,0.3405051
75,80075,-1.9370478237480624,0.0,0.044910956,0.0,0.058335863
76,80076,-1.6883972367880014,0.021073868,0.0,0.027373327,0.0
77,80077,-1.2744712862690564,0.0,0.09138876,0.0,0.11870695
78,80078,-0.7357887319261467,0.0,0.023924949,0.0,0.03107666
79,80079,-0.12508062133129064,0.0,0.07835326,0.0,0.101774834
80,80080,0.4978714948427389,0.0,0.0,0.0,0.0
81,80081,1.0720875135324783,0.0,0.023819769,0.0,0.030940041
82,80082,1.5413580551168704,0.0,0.41779807,0.0,0.5426874
83,80083,1.8597467382311237,0.0,0.5474047,0.0,0.71103644
84,80084,-3.0039131579685416,1.0,0.0,1.2989228,0.0
85,80085,1.9370321824971566,0.0,0.6196523,0.0,0.80488044
86,80086,1.6883635558243237,0.0,0.35995635,0.0,0.4675555
87,80087,1.2744228625928156,0.0,0.7150285,0.0,0.92876685
88,80088,0.7357303056742821,0.0,0.23756795,0.0,0.30858243
89,80089,0.12501791177859528,0.0,0.14598334,0.0,0.18962108
90,80090,-0.4979323491057052,0.02834562,0.0,0.036818773,0.0
91,80091,-1.0721405555689685,0.0,0.09066572,0.0,0.11776777
92,80092,-1.5413980926927517,0.0,0.09799303,0.0,0.12728538
93,80093,-1.8597698521090955,0.0,0.0,0.0,0.0
94,80094,-1.9960907696243133,0.23239577,0.0,0.30186415,0.0
95,80095,-1.9370165393344383,0.08848363,0.0,0.1149334,0.0
